City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Alta Floresta,BR,-9.8756,-56.0861,91.4,52,40,2.3,scattered clouds
227,San Cristobal,VE,7.7669,-72.225,95.0,36,40,20.71,scattered clouds
228,Vardo,NO,70.3705,31.1107,26.6,74,0,19.57,clear sky
229,Ust-Kuyga,RU,70.0167,135.6,-11.99,99,97,7.18,overcast clouds
230,Grand Gaube,MU,-20.0064,57.6608,73.99,92,100,1.99,moderate rain
231,Jacareacanga,BR,-6.2222,-57.7528,93.2,52,20,5.75,few clouds
232,Selikhino,RU,50.3672,137.4996,25.39,94,100,12.21,light snow
233,Sobolevo,RU,54.4299,31.8996,49.33,87,100,5.75,moderate rain
234,Laguna,US,38.421,-121.4238,75.99,21,1,8.05,clear sky
235,Halifax,CA,44.6453,-63.5724,53.6,35,20,17.27,few clouds
236,Parabel,RU,58.6978,81.4825,29.66,95,29,7.07,scattered clouds
237,Beni,CD,0.5,29.4667,62.26,96,100,2.48,light rain
238,Makungu,TZ,-8.7333,35.2833,63.43,99,100,4.68,light rain
239,Ancud,CL,-41.8697,-73.8203,60.8,100,90,10.36,overcast clouds
240,Kang,BW,-23.6752,22.7876,70.86,32,0,7.96,clear sky
241,Lagoa,PT,39.05,-27.9833,61.21,88,100,10.04,overcast clouds
242,Camacha,PT,33.0833,-16.3333,68.0,88,20,5.75,few clouds
243,Necochea,AR,-38.5473,-58.7368,78.01,47,0,3.0,clear sky
244,Rochegda,RU,62.8,43.25,46.31,90,98,8.48,overcast clouds
245,Gat,IL,31.61,34.7642,57.99,82,0,4.0,clear sky
246,Yuncheng,CN,35.0231,110.9928,52.86,45,100,0.96,overcast clouds
247,Mmathubudukwane,BW,-24.6,26.4333,71.6,46,0,8.05,clear sky
248,Ola,RU,59.5833,151.2833,2.66,76,91,8.99,overcast clouds
249,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,78,0,3.44,clear sky
250,Acapulco,MX,16.8634,-99.8901,84.2,65,20,10.36,few clouds
251,Sohodol,RO,46.35,23.0333,53.6,50,20,1.14,few clouds
252,Ketchikan,US,55.3422,-131.6461,41.0,70,20,4.61,few clouds
253,Roebourne,AU,-20.7833,117.1333,81.09,76,86,5.46,overcast clouds
254,Den Helder,NL,52.9599,4.7593,41.0,81,20,5.75,few clouds
255,Chapais,CA,49.7834,-74.8492,59.0,44,75,12.66,broken clouds
256,Cankuzo,BI,-3.1333,30.5833,58.28,96,55,1.88,light rain
257,Isangel,VU,-19.55,169.2667,78.75,82,100,3.58,overcast clouds
258,Iskateley,RU,67.6803,53.1512,31.1,84,100,17.54,overcast clouds
259,Vila Franca Do Campo,PT,37.7167,-25.4333,64.4,88,40,12.66,scattered clouds
260,Geraldton,AU,-28.7667,114.6,66.2,52,75,16.11,broken clouds
261,Te Anau,NZ,-45.4167,167.7167,47.46,92,100,0.72,light rain
262,Labrea,BR,-7.2586,-64.7981,86.36,64,99,3.15,overcast clouds
263,Woodburn,US,45.1437,-122.8554,61.0,30,1,13.8,clear sky
264,Gravdal,NO,68.1214,13.5031,32.0,80,75,8.05,broken clouds
265,Fort Nelson,CA,58.8053,-122.7002,39.2,38,75,4.61,broken clouds
266,Qaqortoq,GL,60.7167,-46.0333,44.6,36,1,5.75,clear sky
267,Puerto Ayacucho,VE,5.6639,-67.6236,83.89,66,98,8.95,overcast clouds
268,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,33.57,92,100,7.54,light snow
269,Santiago Del Estero,AR,-27.7951,-64.2615,79.18,27,6,4.52,clear sky
270,Wajima,JP,37.4,136.9,55.29,67,100,10.07,light rain
271,Havoysund,NO,70.9963,24.6622,32.0,80,75,14.97,light snow
272,Nago,JP,26.5881,127.9761,71.6,88,75,8.05,broken clouds
273,Taoudenni,ML,22.6783,-3.9836,94.93,9,89,8.66,overcast clouds
274,Leningradskiy,RU,69.3833,178.4167,0.99,79,100,9.1,overcast clouds
275,Savannah Bight,HN,16.45,-85.85,89.6,70,20,12.64,few clouds
276,Kavaratti,IN,10.5669,72.642,82.92,74,67,5.19,broken clouds
277,Tasiilaq,GL,65.6145,-37.6368,30.2,59,16,8.05,few clouds
278,Tiksi,RU,71.6872,128.8694,3.74,91,100,7.56,overcast clouds
279,Nanortalik,GL,60.1432,-45.2371,36.25,73,17,13.53,few clouds
280,Bazarnyye Mataki,RU,54.8833,49.9333,44.44,97,89,8.66,overcast clouds
281,La Ronge,CA,55.1001,-105.2842,37.4,35,33,9.22,scattered clouds
282,Oum Hadjer,TD,13.2954,19.6966,87.69,7,73,10.54,broken clouds
283,Narsaq,GL,60.9167,-46.05,44.6,36,1,5.75,clear sky
284,Kot Radha Kishan,PK,31.1725,74.0997,80.6,32,45,4.61,haze
285,Saint Anthony,US,45.0205,-93.218,44.6,81,90,13.8,moderate rain
286,Kutum,SD,14.2,24.6667,71.55,7,14,10.25,few clouds
287,Syracuse,IT,37.0881,15.2792,59.0,88,40,6.91,scattered clouds
288,Santa Rosa,PH,14.3122,121.1114,79.0,83,20,2.3,few clouds
289,Vao,NC,-22.6667,167.4833,76.42,88,100,18.54,overcast clouds
290,Rondonopolis,BR,-16.4708,-54.6356,92.05,33,23,5.5,few clouds
291,Tigbao,PH,12.5546,123.3389,79.48,83,50,6.6,scattered clouds
292,Charters Towers,AU,-20.1,146.2667,65.68,89,0,6.49,clear sky
293,Innisfail,AU,-17.5333,146.0333,72.39,88,37,2.75,scattered clouds
294,Buraydah,SA,26.326,43.975,77.0,100,0,8.05,clear sky
295,Ciudad Bolivar,VE,8.1222,-63.5497,90.63,47,96,1.79,overcast clouds
296,Storforshei,NO,66.4043,14.5233,30.2,64,40,2.3,scattered clouds
297,Aranos,NA,-24.1333,19.1167,74.59,27,0,8.79,clear sky
298,Carauari,BR,-4.8828,-66.8958,88.81,54,44,1.34,scattered clouds
299,Chuguyevka,RU,44.1653,133.8633,40.6,92,100,3.4,overcast clouds
300,Barddhaman,IN,23.25,87.85,82.0,37,0,7.14,clear sky
