City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Coaticook,CA,59.0,overcast clouds,45.1334,-71.7991,Villa highland
405,Bulawayo,ZW,62.13,clear sky,-20.15,28.5833,4 On Housman Backpackers
406,Pacifica,US,62.6,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
407,Seoul,KR,53.6,mist,37.5683,126.9778,Lotte Hotel Seoul
408,Pontes E Lacerda,BR,76.86,overcast clouds,-15.2261,-59.3353,Hotel Bressan
409,Bengkulu,ID,76.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
411,Vanimo,PG,76.06,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
412,Zaraza,VE,86.86,overcast clouds,9.3503,-65.3245,Hotel Zaraza
414,Vila,PT,57.0,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
415,Pacific Grove,US,57.0,scattered clouds,36.6177,-121.9166,Lovers Point Inn
417,Dolores,AR,69.06,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
418,Banda Aceh,ID,79.57,broken clouds,5.5577,95.3222,Sulthan Hotel International
419,Ramon,PH,71.65,overcast clouds,16.7842,121.535,May traveller's Inn
420,Aswan,EG,70.43,clear sky,24.0934,32.907,Nuba Nile
421,Whyalla,AU,66.2,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
422,Mount Isa,AU,53.6,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
424,Tabou,CI,81.18,broken clouds,4.423,-7.3528,hotêl doufoulougou
425,Haapiti,PF,86.0,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
426,Laela,TZ,60.13,light rain,-8.5667,32.05,
427,Cortez,US,66.2,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
428,Kiama,AU,53.01,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
429,Sao Joao Da Barra,BR,89.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
430,Honiara,SB,77.22,broken clouds,-9.4333,159.95,Heritage Park Hotel
431,Selma,US,79.0,few clouds,36.5708,-119.6121,Holiday Inn Selma-Swancourt
432,Taylorville,US,63.0,broken clouds,39.5489,-89.2945,Economy Inn
435,Corinto,GR,55.99,few clouds,37.9407,22.9573,Ephira Hotel
437,Port Blair,IN,82.0,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
440,Kruisfontein,ZA,64.99,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
441,Vernon,CA,52.0,clear sky,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
443,Tucurui,BR,82.58,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
446,Aracati,BR,81.84,broken clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
448,Kennett,US,77.0,haze,36.2362,-90.0556,Americas Best Value Inn Kennett
449,Celina,US,61.0,overcast clouds,40.5489,-84.5702,Holiday Inn Express Celina
450,Alice Springs,AU,55.4,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
451,Abong Mbang,CM,69.91,light rain,3.9833,13.1833,Auberge Angle Sur
452,Porto Walter,BR,83.61,broken clouds,-8.2686,-72.7439,Secretaria de saúde
